method_id,rrmse_t_mean,rrmse_t_std,rrmse_t_lo,rrmse_t_hi,excess_over_floor,n_seeds
wiener_filter,0.5410614577488685,0.0009048981924777967,0.5396855572321131,0.5424348208584779,0.29668778913236066,5
simple_cnn,0.604935431491711,0.000548694635047869,0.6041493031646158,0.6056173534387892,0.4497657816774287,5
novel_cnn,0.5565803646852924,0.001484963063994304,0.5553262434463785,0.5593669294778432,0.33387982496663815,5
rnn_lstm,0.42584442064714817,0.0014510480440137188,0.4237553814220512,0.4282487674879183,0.02056291834336695,5
