method_id,metric,alpha_0.0,alpha_0.05,alpha_0.1,alpha_0.2,alpha_0.3,alpha_0.5,alpha_1.0,n_seeds
identity,rrmse_t,1.4349902600641353,1.4353388449843958,1.4348872005529032,1.43725842191721,1.4327621270568016,1.436348306177801,1.4305099071605707,5
identity,leak_z,0.001210355779590433,0.0012392133607661115,0.001040404086810831,0.001439227190343484,0.0020895322018777305,0.0010748341258343785,0.0019102801235734823,5
wiener_filter,rrmse_t,0.46329347257041864,0.9401278667080563,1.6067445291329805,3.0090829837814153,4.3180758133179,6.368818187564498,9.989526983425147,5
wiener_filter,leak_z,0.0007969829881107282,0.0012340227728275365,0.0010776028472821331,0.0017399864118001318,0.0019371219450235345,0.0012906227357097678,0.0013048837536272727,5
dwt,rrmse_t,1.469551450329575,1.4697486650413734,1.4690362259550658,1.4705601293778727,1.464809493353971,1.4653364103728592,1.4522396694045354,5
dwt,leak_z,0.0013505403936178162,0.0009857076927463737,0.0009192388563461051,0.0012751963399442623,0.0021535873753578904,0.001170173126653662,0.0017041194335123855,5
total_variation,rrmse_t,1.4364519821115997,1.4367918678007863,1.436327825834915,1.4386432094876862,1.4340792487203775,1.4375195343381924,1.4313648459023176,5
total_variation,leak_z,0.0011813320446508514,0.0012417448738826665,0.0012669371250267681,0.0013725941749404668,0.0019971412371310392,0.0011750643790261251,0.0018360780644760765,5
simple_cnn,rrmse_t,0.5895564849318016,0.5912679204484702,0.5940713335273295,0.6067806286441172,0.6219217101853153,0.6550787860753061,0.7310619149870706,5
simple_cnn,leak_z,0.0008292060351947197,0.001742026408783849,0.0007398813344057259,0.0017729383877748855,0.005295828123652221,0.010259529645485415,0.0368863652824564,5
novel_cnn,rrmse_t,0.523845499420279,0.5253274802529517,0.5292186153131837,0.5446403442034125,0.5645494328260118,0.6068843506690224,0.701953447866307,5
novel_cnn,leak_z,0.0006173730186210535,0.0013174535503954227,0.0011168024688115175,0.0020281369663249114,0.0018456301433632416,0.007980549984866392,0.03943526761453208,5
