method_id,rrmse_t_mean,rrmse_t_std,rrmse_t_lo,rrmse_t_hi,excess_over_floor,n_seeds
identity,1.434990259572584,6.26506672579702e-10,1.41726633301606,1.4529514452783692,2.4390443460034787,5
bandpass_notch,0.8024323231834402,0.005125061125853498,0.7938669255789143,0.8112471709330832,0.92307949526877,5
wiener_filter,0.530276380380986,0.0008295794511039113,0.5247443300218586,0.5359551486723012,0.27084067337962114,5
dwt,1.1508757958547888,0.023506492274877184,1.133442703519303,1.168089648734414,1.7581461771493425,5
swt,1.1211580424752399,0.002832432971184381,1.103686366422778,1.1384937196689382,1.686925713418596,5
emd,0.9468910236926916,0.007294316559120908,0.9394786211935499,0.9545734509525626,1.2692838502483812,5
total_variation,1.1174467172709988,0.000880940893691838,1.1001004021943583,1.134737804661913,1.6780312893103604,5
savgol,1.1061660278019316,0.00028709480654061034,1.0885144729328722,1.1236084327853817,1.6509964080079804,5
simple_cnn,0.6049354314917111,0.0005486946350478903,0.6010116366919676,0.6090567162699295,0.449765781677429,5
novel_cnn,0.5565803646852924,0.001484963063994322,0.5527281811775862,0.5606179205596569,0.33387982496663815,5
rnn_lstm,0.42584442064714817,0.0014510480440137231,0.4210484137404361,0.43082664820672606,0.02056291834336695,5
deep_separator,0.47680283271348245,0.0017077695893209757,0.4725619484716628,0.481274142830764,0.14268795558943198,5
eeg_denoise_former,0.4758504517318431,0.00586193262309394,0.47156053441302725,0.4803723082890041,0.14040551470992133,5
ic_unet,0.4436784637193602,0.0033251200845169273,0.4387778226265845,0.4487066754305273,0.06330332343304418,5
